Company,Ticker,Net Income,Operating Income,Revenue,COGS,Equity,Debt,Current Assets,Current Liabilities,Inventory,Share Price,EPS (TTM),Shares Outstanding,Total Assets,Current Ratio,Debt to Equity,Inventory Turnover,Return on Equity (ROE),Operating Margin,P/E Ratio,Book Value per Share,Asset Turnover,Debt Ratio,Net Profit Margin
Aarti Drugs,AARTIDRUGS.NS,473082000.0,849135000.0,6002808000.0,7433955000.0,12815485000.0,5642800000.0,13207199000.0,7955427000.0,4858923000.0,474.2,18.37,91270000,24323580000.0,1.6601496060488017,0.4403110767949867,1.5299594169325177,0.036914872905707434,0.14145629845232432,25.8138268916712,140.41289580365947,0.24678965843021464,0.2319888766374029,0.07881011686530703
Wockhardt,WOCKPHARMA.NS,-1690000000.0,-70000000.0,6910000000.0,2940000000.0,33590000000.0,23560000000.0,21840000000.0,27910000000.0,6400000000.0,1340.6,-13.07,162486000,76490000000.0,0.782515227517019,0.7013992259601072,0.459375,-0.05031259303364097,-0.010130246020260492,-102.57077276205048,206.72550250483118,0.09033860635377174,0.30801411949274415,-0.24457308248914617
Ipca Labs,IPCALAB.NS,595900000.0,2333600000.0,19503800000.0,8359300000.0,63321900000.0,14383600000.0,55389000000.0,23556400000.0,24713100000.0,1460.0,28.71,253704000,111012800000.0,2.3513355181606697,0.22715048032355314,0.3382538006158677,0.009410646237715545,0.11964847875798562,50.853361198188786,249.58967931132344,0.17568965020249916,0.12956704091780408,0.030553020437043037
Eris Lifesciences,ERIS.NS,709620000.0,976060000.0,5472650000.0,1257770000.0,25861190000.0,27812690000.0,23020730000.0,25320770000.0,1890320000.0,1504.3,24.16,136184992,70488370000.0,0.9091638998340098,1.0754605646530573,0.665374116551695,0.02743957257960674,0.17835235215115164,62.264072847682115,189.89750353695362,0.07763904882465009,0.39457133141254364,0.12966661489406411
Gland Pharma,GLAND.NS,1924200000.0,2736260000.0,15144600000.0,5993820000.0,87238430000.0,3721660000.0,56451520000.0,13983630000.0,16552370000.0,1528.7,42.69,164756000,106612460000.0,4.036971802028515,0.04266078607787875,0.362112495068682,0.02205679308992608,0.18067562035312917,35.809323026469905,529.5007769064556,0.14205281446465076,0.034908302462957896,0.12705518798779764
Neuland Labs,NEULANDLAB.NS,675619000.0,949466000.0,3420923000.0,1800199000.0,12827048000.0,953896000.0,9210807000.0,4276832000.0,3504219000.0,11156.0,202.59,12829900,18325610000.0,2.1536518151753445,0.07436598038769325,0.5137233146672625,0.05267143305302981,0.2775467322707936,55.06688385408954,999.7777067631081,0.18667444085080934,0.0520526192579674,0.19749611435276385
Morepen Labs,MOREPENLAB.NS,282806000.0,387568000.0,4147753000.0,2776219000.0,8472262000.0,289992000.0,8890440000.0,4020446000.0,2485942000.0,66.59,2.2,547953984,12932051000.0,2.211306904756338,0.034228403229267464,1.116767406480119,0.033380223604982946,0.09344047246786392,30.268181818181816,15.46163044231101,0.3207343521920846,0.022424285211989962,0.068182941462522
AstraZeneca India,ASTRAZEN.NS,394786000.0,475450000.0,3832026000.0,2922531000.0,7119200000.0,45900000.0,9327100000.0,3571200000.0,2278800000.0,7959.5,38.41,25000000,10780300000.0,2.6117551523297493,0.006447353635239915,1.2824868351764087,0.05545370266322058,0.12407274898447974,207.22468107263734,284.768,0.3554656178399488,0.004257766481452279,0.10302278742367614
JB Chemicals,JBCHEPHARM.NS,1261578000.0,1514450000.0,8252210000.0,3211789000.0,29233293000.0,3776559000.0,18533453000.0,8682261000.0,5025128000.0,1702.0,41.61,155784992,39941271000.0,2.134634399956417,0.12918691712220037,0.6391457093232252,0.043155521343421696,0.18352053571103982,40.90362893535208,187.65153577823466,0.20660859790866445,0.09455279978446354,0.15287759279029497
Hikal,HIKAL.NS,339720000.0,623680000.0,5127470000.0,2736230000.0,11876610000.0,8175770000.0,9666180000.0,7566330000.0,3037200000.0,404.7,7.36,123301000,24871490000.0,1.2775255639127556,0.6883925631977476,0.9009054392203345,0.02860412188326467,0.12163503638246542,54.98641304347826,96.32208984517563,0.20615853734537015,0.32872055514165016,0.06625489763957663
Gufic Bio,GUFICBIO.NS,200460000.0,321844000.0,1579840000.0,980124000.0,5325605000.0,3329157000.0,6004792000.0,3720489000.0,2004821000.0,379.0,8.16,100278000,10925414000.0,1.6139792376754776,0.6251227794776368,0.4888835462118563,0.037640793862856896,0.20371936398622645,46.44607843137255,53.10840862402521,0.14460230065423607,0.304716782357172,0.12688626696374317
Balaji Amines,BALAMINES.NS,680340000.0,870143000.0,3807674000.0,2274068000.0,17218582000.0,196970000.0,9969812000.0,1485598000.0,2868991000.0,1448.9,57.26,32401000,21461528000.0,6.710975647517027,0.011439385659051367,0.79263685386256,0.039511964457932716,0.22852350279987205,25.303877052043315,531.4213141569704,0.17741858827572762,0.009177818093846813,0.17867601060384897
